Catálogo de colonias.
Fecha inicio de vigencia,Fecha fin de vigencia,Versión,Revisión
2024-07-17,,1.0,0
c_Colonia,c_CodigoPostal,Nombre del asentamiento
1803,69792,Santiago Tilapa
1803,74691,Agua de Santa Ana
1803,76900,Bellavista Mezquites
1803,78625,La Joya
1803,83573,La Presa
1803,86967,Buena Vista 23
1803,89673,El Carrizal Segundo
1803,97249,Hacienda Opichen
1804,11460,Dos Lagos
1804,21395,Villas del Colorado
1804,25057,La Herradura
1804,30828,Reforma
1804,33470,Guadalupe y Calvo Centro
1804,35923,Guadalupito
1804,37623,La Lagunita
1804,40040,Patria Nueva
1804,43670,María Isabel
1804,47187,Los Lobos
1804,60443,Gildardo Magaña (Los Ángeles)
1804,62743,Campo Nuevo
1804,63536,Rancho Nuevo (Juventino)
1804,67183,Miguel de la Madrid
1804,69799,Tierra Colorada
1804,74692,Las Flores
1804,76900,Los Frailes
1804,78625,La Curva
1804,81607,Labastida Ochoa
1804,83573,La Copa
1804,86966,Francisco I. Madero 1a Sección
1804,89673,Higinio Tanguma
1804,92123,Cerro de La Cruz
1804,97246,Angeles II
1805,11460,Lago Norte
1805,21395,El Sahuaro
1805,25060,La Central
1805,30829,Joaquín Miguel Gutiérrez
1805,33477,San Simón (Calabazas)
1805,35925,San Antonio de La Laguna
1805,37624,Altos de Ibarra
1805,40040,Rubén Jaramillo
1805,43695,La Herradura
1805,47196,Santa María del Valle
1805,52168,Municipal
1805,62743,Villareal
1805,63538,Rancho Viejo
1805,67186,Nuevo Almaguer
1805,74692,Yeguas
1805,76900,Villa Antigua
1805,78625,San Juan
1805,81605,Fovissste
1805,83574,Hombres Blancos
1805,86966,Francisco I. Madero 2a Sección
1805,89674,Rancho de Piedra
1805,92773,Cerro de Tumilco
1805,97130,Cumbres de Altabrisa
1806,11460,Lago Sur
1806,25010,Vista Hermosa
1806,30834,El Triunfo
1806,33477,San Ignacio de los Sotelo
1806,35930,Loma Alta
1806,37624,La Ceja
1806,40040,Santo Tomas
1806,43696,Tollancingo
1806,47186,El Nacimiento
1806,60445,Parambén
1806,62748,Vicente Guerrero
1806,63544,Rancho Viejo
1806,67186,San Eduardo
1806,69806,El Ojite
1806,74692,Zacatepec
1806,76900,Huertas de la Virgen
1806,78624,San Isidro
1806,80804,Las Delicias
1806,83342,Carnavalito
1806,86933,Asunción
1806,89677,Las Yucas
1806,93330,Circulo Michoacano
1806,97306,Los Héroes
1807,11460,Los Manzanos
1807,21397,Pimsa II
1807,25057,Los Nogales II
1807,30832,Los Leoncillos
1807,33485,Santa Rita
1807,35932,San Antonio del Refugio
1807,37624,San José del Tanque
1807,40040,3 Marías
1807,47188,El Carrizal de Abajo
1807,52168,Solidaridad Electricistas
1807,60446,San José Apupátaro
1807,62748,Vicente Guerrero 4ta Ampliación
1807,63546,Sacaymota
1807,67184,Condado de Santa Lucía
1807,69806,Juan Escutia Juquila
1807,74693,Progreso
