Catálogo de productos Carta Porte.
Versión,Revisión,Fecha de publicación
1.0,0,17/06/2024
c_ClaveProdServ,Descripción,Palabras similares,Material Peligroso,FechaInicioVigencia,FechaFinVigencia
01010101,No existe en el catálogo,Fondos y Valores,"0,1",2024-07-17
10101500,Animales vivos de granja,,0,2024-07-17
10101501,Gatos vivos,,0,2024-07-17
10101502,Perros,,0,2024-07-17
10101504,Visón,,0,2024-07-17
10101505,Ratas,,0,2024-07-17
10101506,Caballos,"Equinos, Potrancas, Potras, Potrillos, Potros, Yeguas",0,2024-07-17
10101507,Ovejas,"Borregos, Carneros",0,2024-07-17
10101508,Cabras,"Borregos cimarrones, Cabritos, Cabros, Carnero de las Rocosas, Chivas, Chivatos, Chivos, Irascos, Machos cabríos, Chivos",0,2024-07-17
10101509,Asnos,"Borricos, Burros",0,2024-07-17
10101510,Ratones,,0,2024-07-17
10101511,Cerdos,"Cerdo montés, Chanchos, Chanchos almizcleros, Chanchos de monte, Cochinillos, Cochinos, Cochinos de monte, Cuche, Cuinos, Gorrinos, Jabalíes americanos, Lechones, Cochinos de monte, Pecaríes, Porcinos, Puercos, Puercos de monte, Tayatos",0,2024-07-17
10101512,Conejos,Liebres,0,2024-07-17
10101513,Cobayas o conejillos de indias,"Chanchito de Indias, Cobayos, Cuilo, Cuyo",0,2024-07-17
10101514,Primates,"Changos, Chimpancés, Gorilas, Lémures, Macacos, Micos, Monos, Orangutanes, Simios, Monos",0,2024-07-17
10101515,Armadillos,Toches,0,2024-07-17
10101516,Ganado vacuno,"Bueyes, Búfalos, Cebús, Otros vacunos o bovinos, Toros, Vacas",0,2024-07-17
10101517,Camellos,Dromedarios,0,2024-07-17
10101600,Pájaros y aves de corral vivos,,0,2024-07-17
10101601,Pollos vivos,"Gallinas, Gallinas de guinea, Gallos, Pintadas, Pollitos",0,2024-07-17
10101602,Patos vivos,,0,2024-07-17
10101603,Pavos vivos,"Gallipavos, Guajolotes, Pavos salvajes",0,2024-07-17
10101604,Gansos vivos,,0,2024-07-17
10101605,Faisanes vivos,,0,2024-07-17
10101700,Peces vivos,,0,2024-07-17
10101701,Salmones vivos,,0,2024-07-17
10101702,Trucha viva,,0,2024-07-17
10101703,Tilapia viva,Mojarra,0,2024-07-17
10101704,Carpa viva,,0,2024-07-17
10101705,Anguilas vivas,,0,2024-07-17
10101800,Mariscos e invertebrados acuáticos vivos,,0,2024-07-17
10101801,Camarón vivo,Esquilas,0,2024-07-17
10101802,Almejas vivas,,0,2024-07-17
10101803,Mejillones vivos,,0,2024-07-17
10101804,Ostras vivas,,0,2024-07-17
10101805,Cangrejos vivos,,0,2024-07-17
10101806,Abulones vivos,Orejas de mar,0,2024-07-17
10101807,Pulpo vivo,Octópodo,0,2024-07-17
10101808,Calamar vivo,,0,2024-07-17
10101809,Sanguijuelas,"Hirudineas, Hirudos, Hirudíneo",0,2024-07-17
10101900,Insectos vivos,,0,2024-07-17
10101901,Mariposas,,0,2024-07-17
10101902,Escarabajos,"Mariquitas, Sanjuaneros",0,2024-07-17
10101903,Abejas,,0,2024-07-17
10101904,Gusanos de seda,"Crisálida, Larva, Oruga",0,2024-07-17
10111300,"Accesorios, equipo y tratamientos para los animales domésticos","Accesorios, equipo y medicamentos para animales domésticos",0,2024-07-17
10111301,Juguetes para mascotas,,0,2024-07-17
10111302,Productos para el aseo y cuidado de mascotas,,0,2024-07-17
10111303,Equipo para el manejo de desperdicios de las mascotas,,0,2024-07-17
10111304,Tazones o equipo para alimentación de mascotas,,0,2024-07-17
10111305,Tratamientos medicados para mascotas,Tratamientos medicinales para mascotas,0,2024-07-17
10111306,Kits para el entrenamiento de mascotas domésticas,,0,2024-07-17
10111307,Cobijas para mascotas,"Mantas para mascotas, Sábanas para mascotas",0,2024-07-17
10121500,Pienso para ganado,Alimento para ganado,0,2024-07-17
10121501,Salvado de trigo puro,,0,2024-07-17
10121502,Avena para forraje,,0,2024-07-17
10121503,Maíz para forraje,,0,2024-07-17
10121504,Sorgo para forraje,,0,2024-07-17
10121505,Heno,,"0,1",2024-07-17
10121506,Tortas oleaginosas,Torta de aceite para ganado,0,2024-07-17
10121507,Forraje compuesto,,0,2024-07-17
10121600,Alimento para pájaros y aves de corral,,0,2024-07-17
10121601,Alimento vivo para aves,,0,2024-07-17
10121602,Alpiste,,0,2024-07-17
10121603,Botanas o comida recreacional para aves,,0,2024-07-17
10121604,Alimento avícola,,0,2024-07-17
10121700,Alimento para peces,,0,2024-07-17
10121701,Salmuera fresca o congelada,,0,2024-07-17
10121702,Alimento granulado para peces,,0,2024-07-17
10121703,Alimento en hojuelas para peces,,0,2024-07-17
10121800,Alimento para perros y gatos,,0,2024-07-17
10121801,Comida seca para perros,,0,2024-07-17
10121802,Comida húmeda para perros,,0,2024-07-17
10121803,Leche para perros o gatos,,0,2024-07-17
10121804,Comida seca para gatos,,0,2024-07-17
10121805,Comida húmeda para gatos,,0,2024-07-17
10121806,Botanas o comida recreacional para gatos o perros,,0,2024-07-17
10121900,Alimento para roedores,,0,2024-07-17
10121901,Comida granulada para roedores,,0,2024-07-17
10122100,Comida para animales variados,Comida para diversos animales,0,2024-07-17
10122101,Comida para cerdos,"Comida para chanchos, Comida para cochinillos, Comida para cochinos, Comida para cuche, Comida para cuinos, Comida para gorrinos, Comida para lechones, Comida para marranos, Comida para porcinos, Comida para puercos, Comida para lechones",0,2024-07-17
10122102,Comida para visones,,0,2024-07-17
10122103,Comida para monos,,0,2024-07-17
10122104,Comida para conejos,,0,2024-07-17
10131500,Cobertizos para animales,,0,2024-07-17
10131506,Establos para ganado,,0,2024-07-17
10131507,Casas para mascotas domesticadas,,0,2024-07-17
10131508,Camas para mascotas,,0,2024-07-17
10131600,Recipientes para animales,Contenedores de comida para animales,0,2024-07-17
10131601,Jaulas o sus accesorios,,0,2024-07-17
10131602,Perreras,,0,2024-07-17
10131603,Equipaje para el transporte de animales,,0,2024-07-17
10131604,Correas para perros,,0,2024-07-17
10141500,Talabartería,Guarniciones para caballerías,0,2024-07-17
10141501,Sillas de montar,,0,2024-07-17
10141502,Fustas y látigos,,0,2024-07-17
10141503,Herraduras para caballo,,0,2024-07-17
10141504,Herraduras para mula,,0,2024-07-17
10141505,Sillín o pelero,,0,2024-07-17
10141600,Arneses,,0,2024-07-17
10141601,Bridas,Correas para caballos,0,2024-07-17
10141602,Yugos,,0,2024-07-17
10141603,Bocados para caballos,Embocaduras para caballo,0,2024-07-17
10141604,Riendas,Correas,0,2024-07-17
10141605,Estribos,,0,2024-07-17
10141606,Correas o traíllas,,0,2024-07-17
